crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1669460,2016-06-04,10:00:00,SATURDAY,Portland N,1,304,45.554317,-122.678736,MN,STRGHT,PACIFIC HY I-5,9429,6,INJ,1265.00,57.50,Clear,CLR,0,80.34,8.05,0,9,DRY,DAY
1669718,2016-06-06,15:00:00,MONDAY,Portland N,1,304.5,45.564667,-122.678717,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,764.00,14.50,Clear,CLR,0,86.57,3.35,0.01,9,DRY,DAY
1669786,2016-06-07,11:00:00,TUESDAY,Portland N,1,304,45.55935,-122.678672,MN,STRGHT,PACIFIC HY I-5,9425,6,INJ,1039.00,53.50,Clear,CLR,0,74.14,1.58,0,9,DRY,DAY
1669966,2016-06-01,08:00:00,WEDNESDAY,Portland N,1,304,45.5592,-122.678672,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,849.00,56.50,Clear,CLR,0,62.61,0.86,0.01,9,DRY,DAY
1669970,2016-06-01,14:00:00,WEDNESDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,INJ,1171.00,35.67,Clear,CLR,0,78.83,4.03,0.03,9,DRY,DAY
1670062,2016-06-07,13:00:00,TUESDAY,Portland N,1,305,45.572211,-122.678744,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,1151.00,50.00,Clear,CLR,0,80.97,2.35,0.01,9,DRY,DAY
1670756,2016-06-12,18:00:00,SUNDAY,Portland NE,1,302,45.529536,-122.665364,MN,STRGHT,PACIFIC HY I-5,9436,6,INJ,1150.00,39.00,Clear,CLR,0,72.5,2.47,0.09,9,DRY,DAY
1670937,2016-06-13,17:00:00,MONDAY,Portland N,1,305,45.569878,-122.6787,MN,STRGHT,PACIFIC HY I-5,9420,6,INJ,918.00,16.00,Mostly Cloudy,CLR,0.0004,63.69,4.92,0.82,9,DRY,DAY
1671003,2016-06-13,09:00:00,MONDAY,Portland N,1,304.5,45.5638,-122.678706,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,1214.00,56.50,Overcast,CLR,0,56.49,0.99,0.99,9,DRY,DAY
1671029,2016-06-24,15:00:00,FRIDAY,Portland NE,1,301.5,45.525803,-122.665444,MN,STRGHT,PACIFIC HY I-5,9448,6,INJ,807.00,53.00,Overcast,RAIN,0,65.13,2.92,1,9,WET,DAY
1671039,2016-06-24,14:00:00,FRIDAY,Portland N,1,303.5,45.549361,-122.678753,MN,STRGHT,PACIFIC HY I-5,9430,8,INJ,1017.00,27.00,Overcast,CLR,0,67.47,2.01,1,9,DRY,DAY
1671062,2016-06-14,23:00:00,TUESDAY,Portland N,1,305,45.571525,-122.678731,MN,STRGHT,PACIFIC HY I-5,9420,6,INJ,446.00,53.50,Mostly Cloudy,CLR,0,49.86,2.92,0.79,9,DRY,DLIT
1671150,2016-06-11,15:00:00,SATURDAY,Portland NE,1,302,45.530378,-122.66535,MN,STRGHT,PACIFIC HY I-5,9435,6,INJ,1071.00,48.50,Mostly Cloudy,CLR,0,61.35,1.13,0.79,9,DRY,DAY
1671163,2016-06-25,17:00:00,SATURDAY,Portland N,1,306,45.584489,-122.679489,MN,STRGHT,PACIFIC HY I-5,9413,4,INJ,799.00,15.33,Clear,UNK,0,74.5,3.22,0,9,UNK,DAY
1671331,2016-06-16,19:00:00,THURSDAY,Portland N,1,304,45.554856,-122.677447,CN,CURVE,NB EF GOING ST C2,322,2,INJ,1274.00,52.00,Mostly Cloudy,CLR,0,63.87,0.54,0.75,9,DRY,DAY
1671390,2016-06-16,16:00:00,THURSDAY,Portland SE,1,301,45.517806,-122.665378,CN,STRGHT,NB EF MORRISN BR C3,9503,1,INJ,778.00,22.00,Partly Cloudy,CLR,0,65.67,4.92,0.45,9,DRY,DAY
1671450,2016-06-27,19:00:00,MONDAY,Portland N,1,307,45.597231,-122.684092,CN,STRGHT,NB EF VICTORY BV C1,609,1,INJ,721.00,23.50,Clear,CLR,0,81.87,3.3,0,9,DRY,DAY
1671746,2016-06-11,23:00:00,SATURDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,INJ,531.00,60.67,Clear,CLR,0,56.84,0.63,0,9,DRY,DLIT
1672169,2016-07-01,15:00:00,FRIDAY,Portland N,1,304.5,45.562622,-122.678681,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,641.00,9.00,Clear,CLR,0,74.84,2.46,0.02,9,DRY,DAY
1672293,2016-07-07,09:00:00,THURSDAY,Portland N,1,303.5,45.548217,-122.678728,MN,STRGHT,PACIFIC HY I-5,9431,8,INJ,745.00,60.00,Mostly Cloudy,CLR,0,61.35,4.03,0.72,9,DRY,DAY
1672301,2016-07-02,18:00:00,SATURDAY,Portland N,1,307.5,45.602969,-122.683217,MN,STRGHT,PACIFIC HY I-5,9701,6,INJ,951.00,48.00,Clear,CLR,0,80.33,3.14,0,9,DRY,DAY
1672315,2016-07-07,14:00:00,THURSDAY,Portland NE,1,302,45.525392,-122.661286,CN,STRGHT,NB EXTO BANFIELD C1,305,2,INJ,1050.00,44.50,Overcast,CLR,0,71.62,1.75,1,9,DRY,DAY
1672620,2016-07-05,17:00:00,TUESDAY,Portland N,1,303.5,45.558989,-122.679072,CN,INTER,N MINNESOTA AVE,9425,,INJ,835.00,13.50,Partly Cloudy,CLR,0,69.28,2.59,0.5,9,DRY,DAY
1672767,2016-07-12,07:00:00,TUESDAY,Portland N,1,307,45.599494,-122.6842,MN,STRGHT,PACIFIC HY I-5,609,6,INJ,607.00,33.00,Overcast,CLR,0,59.86,0.44,0.88,9,DRY,DAY
1673004,2016-07-13,18:00:00,WEDNESDAY,Portland SW,1,300,45.502144,-122.674364,MN,STRGHT,SB EX HOOD AVE C2,9493,2,INJ,664.00,8.00,Clear,CLR,0,75.56,4.92,0.01,9,DRY,DAY
1673050,2016-01-02,15:00:00,SATURDAY,Portland N,1,308,45.616247,-122.676564,MN,BRIDGE,PACIFIC HY I-5,9458,3,PDO,935.00,17.33,Clear,CLR,0,33.24,7.65,0,9,ICE,DAY
1673107,2016-07-16,16:00:00,SATURDAY,Portland Bridges,1,300.5,45.508219,-122.668672,MN,BRIDGE,MARQUAM BRIDGE,9452,5,INJ,256.00,61.67,Mostly Cloudy,CLR,0,72.69,4.03,0.75,9,DRY,DAY
